run_id,ts_utc,job,month,parallelism,duration_s,rows_in,rows_out
top100_20260728T200417Z,2026-07-28T20:04:17+00:00,top100,2026-07,2,200.281,-1,100
monument_Tour_Eiffel_20260728T200800Z,2026-07-28T20:08:00+00:00,monument_Tour_Eiffel,2026-07,2,96.971,-1,2
monument_Sagrada_Família_20260728T201001Z,2026-07-28T20:10:01+00:00,monument_Sagrada_Família,2026-07,2,96.821,-1,2
top100_20260728T201201Z,2026-07-28T20:12:01+00:00,top100,2026-07,2,201.426,-1,100
top100_20260728T201535Z,2026-07-28T20:15:35+00:00,top100,2026-07,2,124.21,-1,100
monument_Sagrada_Família_20260728T201802Z,2026-07-28T20:18:02+00:00,monument_Sagrada_Família,2026-07,2,61.42,-1,2
monument_Mont-Saint-Michel_20260728T201927Z,2026-07-28T20:19:27+00:00,monument_Mont-Saint-Michel,2026-07,2,60.984,-1,1
top100_20260728T202051Z,2026-07-28T20:20:51+00:00,top100,2026-07,2,132.473,-1,100
top100_20260728T202319Z,2026-07-28T20:23:19+00:00,top100,2026-07,2,131.56,-1,100
monument_Mont-Saint-Michel_20260728T202554Z,2026-07-28T20:25:54+00:00,monument_Mont-Saint-Michel,2026-07,2,65.582,-1,1
monument_Tour_Eiffel_20260728T202725Z,2026-07-28T20:27:25+00:00,monument_Tour_Eiffel,2026-07,2,66.59,-1,2
top100_20260728T202856Z,2026-07-28T20:28:56+00:00,top100,2026-07,2,135.893,-1,100
